# These stats were half-generated with a command like 
# for f in `grep -l 'seconds to com' problem*`; do echo -n "$f "; python $f | grep seconds | awk '{ print $1 }' >>stats.txt; done

problem lines    seconds
007      24      0.763779
010      26      9.314983
012      50      2.399776
013     113      0.000042
014      30      30.413974
019      32      0.000337
020      20      0.00018
021      36      0.196734
022      25      0.015018
023      76      1.057612
027      30      4.272653
029      11      0.01545
030      29      0.300625
031      25      0.002006
036      35      0.006731
037      39      0.262312
038      17      0.000571
050     108      0.002067
053      29      0.001897
065      37      0.001264
067     126      0.00788
081      41      0.013612
092     106      6.427127
